"","X1","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94","female","w"
"1532",28048,689300765540940,"February","CA",3166.8561,2326.92,40,45,4,NA,30,2,1,0,0,"Native, Born In US",93,"Hospitals (622)",3050,"Government - Federal","No","No","Employed-At Work",TRUE,58.173
"1533",28049,689300765540940,"February","CA",4304.6776,769.23,40,46,4,NA,30,1,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",1650,"Government - State","No","No","Employed-At Work",FALSE,19.23075
"1534",28051,689570717440980,"February","CA",3225.4509,1442.3,40,46,1,NA,46,1,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",7010,"Government - State","No","No","Employed-At Work",FALSE,36.0575
"1535",28069,689760206820980,"February","CA",3115.3242,2346.15,40,44,4,NA,50,2,1,1,3,"Foreign Born, US Cit By Naturalization",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1020,"Private, For Profit","No","No","Employed-At Work",TRUE,58.65375
"1536",28088,700667094908159,"February","CA",3163.1448,1125,40,44,1,NA,31,1,1,0,0,"Native, Born In US",93,"Computer systems design and related services (5415)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,28.125
"1537",28107,760120084809890,"February","CA",3287.1536,1192.3,35,44,1,5,31,2,7,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2320,"Government - Local","Yes",NA,"Employed-At Work",TRUE,34.0657142857143
"1538",28122,760997034909592,"February","CA",3858.7114,1100,40,46,1,NA,26,1,1,1,1,"Native, Born In US",93,"Justice, public order, and safety activities (922, pt. 92115)",2100,"Government - Local","Yes",NA,"Employed-At Work",FALSE,27.5
"1539",28125,782092568600443,"February","CA",3047.7603,1057.69,35,44,4,NA,46,2,5,0,0,"Foreign Born, Not a US Citizen",93,"Colleges and universities, including junior colleges (6112, 6113)",230,"Private, Nonprofit","No","No","Employed-At Work",TRUE,30.2197142857143
"1540",28150,800609932395399,"February","CA",3229.892,2884.61,50,45,1,NA,57,1,1,0,0,"Native, Born In US",93,"Legal services (5411)",2100,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"1541",28158,800609940613641,"February","CA",3013.5981,942,70,44,1,NA,44,1,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",1060,"Government - State","No","No","Employed-At Work",FALSE,13.4571428571429
"1542",28166,800609955462572,"February","CA",3828.5541,2000,40,45,1,2,31,1,7,0,0,"Native, Born In US",93,"Legal services (5411)",2100,"Private, For Profit","No","No","Employed-At Work",FALSE,50
"1543",28170,800609965826498,"February","CA",2944.0585,1500,40,44,4,NA,28,2,7,0,0,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",5310,"Private, For Profit","No","No","Employed-At Work",TRUE,37.5
"1544",28222,836827480219009,"February","CA",3061.2044,1923,40,44,1,NA,52,2,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Private, For Profit","No","Yes","Employed-At Work",TRUE,48.075
"1545",28248,860843008907894,"February","CA",3458.3298,1634.61,50,45,1,1,29,2,1,0,0,"Native, Born In US",93,"Legal services (5411)",2100,"Private, For Profit","No","No","Employed-At Work",TRUE,32.6922
"1546",28267,883097039600791,"February","CA",3166.8561,2692.3,40,46,4,NA,33,2,1,1,1,"Foreign Born, Not a US Citizen",93,"Computer systems design and related services (5415)",1010,"Private, For Profit","No","No","Employed-At Work",TRUE,67.3075
"1547",28268,883097039600791,"February","CA",3817.9326,1730.76,40,44,4,NA,35,1,1,1,1,"Foreign Born, Not a US Citizen",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1430,"Private, For Profit","No","No","Employed-At Work",FALSE,43.269
"1548",28277,907096805049270,"February","CA",3225.4509,2025,40,44,1,NA,47,1,1,3,11,"Native, Born In US",93,"Elementary and secondary schools (6111)",2320,"Government - Local","Yes",NA,"Employed-At Work",FALSE,50.625
"1549",28302,926375640259004,"February","CA",3083.1877,2500,40,46,1,NA,52,1,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Pharmacies and drug stores (44611)",3050,"Private, For Profit","No","No","Employed-At Work",FALSE,62.5
"1550",28326,946046881089410,"February","CA",3224.6427,2884,60,45,1,NA,41,1,1,0,0,"Native, Born In US",93,"Management of companies and enterprises (551)",120,"Private, For Profit","No","No","Employed-At Work",FALSE,48.0666666666667
"1551",28358,978066245046350,"February","CA",2924.2972,1153.84,40,44,2,NA,26,2,7,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",1820,"Government - Local","No","No","Employed-At Work",TRUE,28.846
"1552",28381,989090079600218,"February","CA",2791.758,1750,40,44,1,NA,61,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3420,"Private, For Profit","No","No","Employed-At Work",TRUE,43.75
"1553",28407,564096608309,"February","CA",3338.6528,1730.76,40,46,4,NA,61,2,1,1,4,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3255,"Government - State","Yes",NA,"Employed-At Work",TRUE,43.269
"1554",28415,3160460016104,"February","CA",2954.642,2500,50,44,4,NA,42,1,1,2,5,"Foreign Born, US Cit By Naturalization",93,"Computer systems design and related services (5415)",430,"Private, For Profit","No","No","Employed-At Work",FALSE,50
"1555",28453,16460860919472,"February","CA",3082.7338,1440,40,44,1,NA,36,2,1,2,8,"Native, Born In US",93,"Hospitals (622)",3255,"Government - Federal","No","No","Employed-At Work",TRUE,36
"1556",28455,16710860985093,"February","CA",3279.0298,1250,40,44,1,NA,54,1,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2320,"Private, Nonprofit","No","No","Employed-At Work",FALSE,31.25
"1557",28514,50740460017407,"February","CA",3138.4295,1826.09,50,44,1,NA,43,1,1,2,10,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Government - Local","Yes",NA,"Employed-At Work",FALSE,36.5218
"1558",28550,65520860010508,"February","CA",3619.27,1442.3,40,44,1,1,35,1,1,2,5,"Native, Born In US",93,"Waste management and remediation services (562)",2825,"Private, For Profit","No","No","Employed-At Work",FALSE,36.0575
"1559",28628,95480460015506,"February","CA",3778.1569,1730,40,44,1,1,32,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Scientific research and development services (5417)",1410,"Government - Federal","Yes",NA,"Employed-At Work",FALSE,43.25
"1560",28629,95480460015506,"February","CA",3310.3599,932.69,40,44,1,1,28,2,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2300,"Government - Local","Yes",NA,"Employed-At Work",TRUE,23.31725
"1561",28640,96834105050669,"February","CA",3570.6262,336.92,25,44,1,NA,29,1,7,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit","Yes",NA,"Employed-At Work",FALSE,13.4768
"1562",28664,100865093508119,"February","CA",3638.8766,2884.61,40,44,1,1,54,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Restaurants and other food services (722 exc. 7224)",310,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"1563",28709,204907980797446,"February","CA",3298.6514,2884.61,40,44,1,NA,59,2,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",230,"Government - Local","Yes",NA,"Employed-At Work",TRUE,72.11525
"1564",28763,310368095704879,"February","CA",3002.4824,1730,40,44,1,NA,52,2,1,0,0,"Native, Born In US",93,"Other amusement, gambling, and recreation industries (713 exc. 71395)",800,"Private, For Profit","No","No","Employed-At Work",TRUE,43.25
"1565",28784,350166091508609,"February","CA",3178.3392,1250,60,46,1,NA,51,1,5,0,0,"Native, Born In US",93,"Navigational, measuring, electromedical, and control instruments manufacturing (3345)",4850,"Private, For Profit","No","No","Employed-At Work",FALSE,20.8333333333333
"1566",28789,360446094907299,"February","CA",3138.4295,961.53,40,46,1,NA,40,1,5,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Government - State","No","No","Employed-At Work",FALSE,24.03825
"1567",28816,400609797800199,"February","CA",3230.7612,2480.76,40,44,1,NA,44,1,7,0,0,"Native, Born In US",93,"Aerospace products and parts manufacturing (336414, 336415, 336419)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,62.019
"1568",28817,400609900305390,"February","CA",3294.1708,1750,40,46,1,NA,32,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Scientific research and development services (5417)",1760,"Government - Federal","No","No","Employed-At Work",FALSE,43.75
"1569",28818,400609900305390,"February","CA",3199.0349,1442.3,40,44,4,NA,31,2,1,0,0,"Foreign Born, Not a US Citizen",93,"Computer systems design and related services (5415)",1005,"Private, For Profit","No","No","Employed-At Work",TRUE,36.0575
"1570",28943,610120294040080,"February","CA",3258.225,2692.3,80,44,1,NA,48,1,1,0,0,"Native, Born Abroad Of US Parent(s)",93,"Elementary and secondary schools (6111)",10,"Government - State","No","No","Employed-At Work",FALSE,33.65375
"1571",28949,610490356220040,"February","CA",3144.0303,1923.07,40,44,1,NA,49,2,1,1,4,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3255,"Government - Federal","Yes",NA,"Employed-Absent",TRUE,48.07675
"1572",28976,637830557640940,"February","CA",2799.9884,2884.61,50,44,1,NA,63,1,1,0,0,"Native, Born In US",93,"Architectural, engineering, and related services (5413)",1320,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"1573",28987,646640114480940,"February","CA",2962.6804,420,40,44,4,NA,43,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4400,"Private, For Profit","No","No","Employed-At Work",TRUE,10.5
"1574",29001,659140325700940,"February","CA",3102.6733,2884.61,40,44,1,NA,51,2,1,1,3,"Native, Born In US",93,"Bus service and urban transit (4851, 4852, 4854, 4855, 4859)",430,"Government - Local","Yes",NA,"Employed-At Work",TRUE,72.11525
"1575",29002,659140325700940,"February","CA",3279.0298,2596.15,40,44,1,NA,52,1,1,1,3,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",735,"Private, For Profit","No","No","Employed-At Work",FALSE,64.90375
"1576",29032,669830511650940,"February","CA",3255.6057,1080,60,44,1,NA,28,2,7,0,0,"Native, Born In US",93,"Animal food, grain and oilseed milling (3111, 3112)",8800,"Private, For Profit","No","No","Employed-At Work",TRUE,18
"1577",29033,669830511650940,"February","CA",3564.7897,769,60,44,1,NA,29,1,7,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2000,"Private, For Profit","No","No","Employed-At Work",FALSE,12.8166666666667
"1578",29036,676240932180980,"February","CA",2513.813,1365,50,44,1,1,41,2,1,1,1,"Native, Born In US",93,"Offices of physicians (6211)",2010,"Private, For Profit","Yes",NA,"Employed-At Work",TRUE,27.3
"1579",29071,689400186890940,"February","CA",3279.0298,2557.69,40,44,1,NA,53,1,5,1,4,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",230,"Private, Nonprofit","No","No","Employed-At Work",FALSE,63.94225
"1580",29084,689640579720980,"February","CA",2880.8658,1596.15,40,44,4,NA,46,1,1,2,3,"Foreign Born, US Cit By Naturalization",93,"Insurance carriers and related activities (524)",1010,"Private, For Profit","No","No","Employed-At Work",FALSE,39.90375
"1581",29090,689990642340980,"February","CA",3385.3181,2000,75,44,1,NA,57,2,7,0,0,"Native, Born In US",93,"Insurance carriers and related activities (524)",4710,"Private, For Profit","No","No","Employed-At Work",TRUE,26.6666666666667
"1582",29191,808902170860806,"February","CA",3602.0695,384.61,40,44,4,NA,62,1,1,2,3,"Foreign Born, US Cit By Naturalization",93,"Individual and family services (6241)",420,"Private, Nonprofit","No","No","Employed-At Work",FALSE,9.61525
"1583",29209,860042094909292,"February","CA",3258.225,2884.61,40,45,1,NA,45,1,1,1,1,"Native, Born In US",93,"Hospitals (622)",3060,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"1584",29239,896339240959003,"February","CA",3137.4402,1923.05,50,44,1,8,48,2,5,0,0,"Native, Born In US",93,"Non-depository credit and related activities (5222, 5223)",137,"Private, For Profit","No","No","Employed-At Work",TRUE,38.461
"1585",29241,900162001208440,"February","CA",3279.0298,1972.97,50,44,1,NA,51,1,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Government - State","No","No","Employed-At Work",FALSE,39.4594
"1586",29242,900162001208440,"February","CA",3102.6733,2459.45,50,44,1,NA,50,2,1,0,0,"Native, Born In US",93,"Individual and family services (6241)",3245,"Government - Local","No","No","Employed-At Work",TRUE,49.189
"1587",29288,924086877089490,"February","CA",3099.1608,1038.46,40,44,1,NA,47,2,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Government - Local","No","No","Employed-At Work",TRUE,25.9615
"1588",29304,942090829600924,"February","CA",3078.8898,1800,30,45,1,NA,38,2,1,3,11,"Native, Born In US",93,"Veterinary services (54194)",3250,"Private, For Profit","No","No","Employed-At Work",TRUE,60
"1589",29324,951076503049420,"February","CA",2958.986,692,40,44,4,NA,42,2,1,2,8,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",800,"Private, For Profit","No","No","Employed-At Work",TRUE,17.3
"1590",29329,959026012089230,"February","CA",3706.2021,769.23,22,45,4,NA,62,1,1,0,0,"Native, Born In US",93,"Employment services (5613)",1430,"Private, For Profit","No","No","Employed-At Work",FALSE,34.965
"1591",29330,959026012089230,"February","CA",3007.3983,1538.46,40,44,1,NA,54,2,1,0,0,"Native, Born In US",93,"Administration of human resource programs (923)",2025,"Government - Local","No","No","Employed-At Work",TRUE,38.4615
"1592",29339,960283088907391,"February","CA",3952.87,2096.15,40,44,4,NA,25,1,3,0,0,"Foreign Born, Not a US Citizen",93,"Computer systems design and related services (5415)",1020,"Private, For Profit","Yes",NA,"Employed-At Work",FALSE,52.40375
"1593",29348,964086891049080,"February","CA",3683.7445,961.53,40,46,1,NA,26,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit","Yes",NA,"Employed-At Work",FALSE,24.03825
"1594",29354,977086532089060,"February","CA",3385.3181,250,40,44,1,NA,55,2,1,0,0,"Native, Born In US",93,"Real estate (531)",4920,"Private, For Profit","No","No","Employed-Absent",TRUE,6.25
"1595",29355,978066345047350,"February","CA",3230.7612,2884.61,40,44,1,NA,42,1,1,2,5,"Native, Born In US",93,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"1596",29395,38066155080620,"February","CA",2952.7989,1080,36,46,1,NA,45,1,7,0,0,"Native, Born In US",93,"Pharmacies and drug stores (44611)",3050,"Private, For Profit","No","No","Employed-At Work",FALSE,30
"1597",29407,400609995394490,"February","CA",2584.2448,1980.76,50,44,1,NA,44,2,7,0,0,"Native, Born In US",93,"Justice, public order, and safety activities (922, pt. 92115)",2100,"Government - Local","Yes",NA,"Employed-At Work",TRUE,39.6152
"1598",29411,660154058909994,"February","CA",2971.6534,1730.76,40,44,1,NA,51,1,1,0,0,"Native, Born In US",93,"Administration of economic programs and space research (926, 927)",430,"Government - Federal","No","No","Employed-At Work",FALSE,43.269
"1599",29437,46094409600463,"February","CA",3279.0298,2884.61,50,44,1,NA,53,1,1,0,0,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",50,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"1600",29476,98928007016629,"February","CA",2896.1116,250,38,44,1,NA,64,1,1,0,0,"Native, Born In US",93,"Furniture and home furnishings stores (442)",4760,"Private, For Profit","No","No","Employed-At Work",FALSE,6.57894736842105
"1601",29487,146770640720006,"February","CA",2577.4026,1900,40,44,1,1,37,2,1,3,3,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Government - Local","Yes",NA,"Employed-At Work",TRUE,47.5
"1602",29497,260891048909391,"February","CA",3151.1577,1900,40,44,1,8,53,2,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Government - State","No","No","Employed-At Work",TRUE,47.5
"1603",29518,326669580899006,"February","CA",3246.0463,2884.61,50,45,1,NA,53,1,5,0,0,"Native, Born In US",93,"Computer systems design and related services (5415)",840,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"1604",29552,546092369600902,"February","CA",2849.251,2884.61,50,46,1,NA,40,2,1,0,0,"Native, Born In US",93,"Hospitals (622)",3060,"Government - State","No","No","Employed-At Work",TRUE,57.6922
"1605",29564,604903440496006,"February","CA",2976.9985,2500,50,44,4,NA,49,1,1,2,10,"Foreign Born, Not a US Citizen",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",20,"Private, For Profit","No","No","Employed-At Work",FALSE,50
"1606",29565,604903440496006,"February","CA",3089.047,2307.69,50,44,4,NA,45,2,1,2,10,"Foreign Born, Not a US Citizen",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",430,"Private, For Profit","No","No","Employed-At Work",TRUE,46.1538
"1607",29572,639280954850940,"February","CA",3299.9591,2307,50,44,1,NA,35,1,7,0,0,"Native, Born In US",93,"Other health care services (6215, 6219)",3110,"Private, For Profit","No","No","Employed-At Work",FALSE,46.14
"1608",29611,800609978695194,"February","CA",2851.2655,1153.84,40,44,1,1,60,2,1,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Government - State","Yes",NA,"Employed-At Work",TRUE,28.846
"1609",29661,90964106049849,"February","CO",1858.6025,1730.76,40,44,1,NA,54,1,1,0,0,"Native, Born In US",84,"Computer systems design and related services (5415)",1410,"Private, For Profit","No","No","Employed-At Work",FALSE,43.269
"1610",29682,168220140721007,"February","CO",1850.0881,1711,40,44,4,NA,39,1,1,2,3,"Foreign Born, Not a US Citizen",84,"Electric power generation, transmission and distribution (Pt. 2211)",1550,"Private, For Profit","No","No","Employed-At Work",FALSE,42.775
"1611",29684,168410080961004,"February","CO",1763.5624,788.46,40,44,1,NA,36,2,7,2,3,"Native, Born In US",84,"Elementary and secondary schools (6111)",2320,"Government - Local","Yes",NA,"Employed-At Work",TRUE,19.7115
"1612",29692,190883096308739,"February","CO",1609.1955,865,40,44,1,NA,31,2,7,0,0,"Native, Born In US",84,"Elementary and secondary schools (6111)",2310,"Government - State","Yes",NA,"Employed-At Work",TRUE,21.625
"1613",29705,350185001908870,"February","CO",1927.0105,807.69,40,44,1,NA,27,2,1,0,0,"Native, Born In US",84,"**** Data processing, hosting, and related services (*5182)",2850,"Private, For Profit","No","No","Employed-At Work",TRUE,20.19225
"1614",29727,580388084909877,"February","CO",1763.5624,1061.53,45,44,1,NA,36,2,7,0,0,"Native, Born In US",84,"Elementary and secondary schools (6111)",2330,"Government - Local","Yes",NA,"Employed-At Work",TRUE,23.5895555555556
"1615",29731,583075339800744,"February","CO",1927.0105,865.38,40,44,1,NA,28,2,1,0,0,"Native, Born In US",84,"Elementary and secondary schools (6111)",3230,"Government - Local","No","No","Employed-At Work",TRUE,21.6345
"1616",29732,583075339800744,"February","CO",1599.0893,1326.92,50,45,1,NA,37,1,1,0,0,"Native, Born In US",84,"Justice, public order, and safety activities (922, pt. 92115)",2100,"Government - State","No","No","Employed-At Work",FALSE,26.5384
"1617",29738,680644014909990,"February","CO",1895.4311,1903.84,40,44,1,NA,57,1,1,0,0,"Native, Born In US",84,"Computer systems design and related services (5415)",1410,"Government - Federal","No","No","Employed-At Work",FALSE,47.596
"1618",29739,680644014909990,"February","CO",1724.2918,1250,40,44,1,NA,59,2,1,0,0,"Native, Born In US",84,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",5000,"Private, For Profit","No","No","Employed-At Work",TRUE,31.25
"1619",29749,800882075904579,"February","CO",1895.4311,1807,42,44,1,NA,57,1,1,0,0,"Native, Born In US",84,"Aerospace products and parts manufacturing (336414, 336415, 336419)",1320,"Private, Nonprofit","No","Yes","Employed-At Work",FALSE,43.0238095238095
"1620",29753,804708350998878,"February","CO",1927.0105,784,45,46,1,NA,29,2,7,0,0,"Native, Born In US",84,"Outpatient care centers (6214)",3160,"Private, For Profit","No","No","Employed-Absent",TRUE,17.4222222222222
"1621",29763,810530453340140,"February","CO",1858.6025,1080,40,44,1,NA,51,1,1,2,3,"Native, Born In US",84,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit","No","No","Employed-At Work",FALSE,27
"1622",29809,10010880980999,"February","CO",1909.6873,2884.61,70,45,1,NA,51,1,1,3,10,"Native, Born In US",84,"Support activities for mining (213)",2100,"Private, For Profit","No","No","Employed-At Work",FALSE,41.2087142857143
"1623",29814,31590480982196,"February","CO",1909.6873,2307.69,50,44,1,NA,52,1,1,1,4,"Native, Born In US",84,"Administration of environmental quality and housing programs (924, 925)",430,"Government - Federal","No","No","Employed-At Work",FALSE,46.1538
"1624",29854,84075759800974,"February","CO",1935.8594,1400,50,44,1,1,34,2,5,2,10,"Native, Born In US",84,"Hospitals (622)",3255,"Private, For Profit","No","No","Employed-At Work",TRUE,28
"1625",29871,104702270996078,"February","CO",1546.8979,2692.3,40,44,1,NA,43,1,1,3,8,"Foreign Born, Not a US Citizen",84,"Computer systems design and related services (5415)",110,"Private, For Profit","No","No","Employed-At Work",FALSE,67.3075
"1626",29872,104702270996078,"February","CO",1678.237,1730.76,40,44,1,NA,41,2,1,3,8,"Foreign Born, Not a US Citizen",84,"Electric power generation, transmission and distribution (Pt. 2211)",1020,"Private, For Profit","No","No","Employed-At Work",TRUE,43.269
"1627",29881,182079679800959,"February","CO",1909.6873,1153,40,44,1,NA,54,1,1,0,0,"Native, Born In US",84,"Computer systems design and related services (5415)",4840,"Private, For Profit","No","No","Employed-At Work",FALSE,28.825
"1628",29904,400809958831797,"February","CO",1546.8979,2884.61,45,44,1,NA,43,1,1,1,2,"Native, Born In US",84,"Machinery manufacturing, n.e.c. (3332, 3334, 3339)",1760,"Private, For Profit","No","No","Employed-At Work",FALSE,64.1024444444444
"1629",29905,400809958831797,"February","CO",1678.237,1250,25,46,1,NA,43,2,1,1,2,"Native, Born In US",84,"Outpatient care centers (6214)",1820,"Private, Nonprofit","No","No","Employed-At Work",TRUE,50
"1630",29927,640188011104430,"February","CO",1909.6873,550,55,44,1,NA,52,1,1,1,3,"Native, Born In US",84,"Administration of human resource programs (923)",3930,"Government - Federal","Yes",NA,"Employed-At Work",FALSE,10
"1631",29953,800807917996592,"February","CO",1812.035,1942.3,45,44,1,NA,37,2,1,0,0,"Native, Born In US",84,"Home health care services (6216)",3160,"Private, For Profit","No","No","Employed-At Work",TRUE,43.1622222222222
"1632",29957,800807983516591,"February","CO",1623.6611,1923,80,44,1,NA,34,1,1,0,0,"Native, Born In US",84,"Machinery manufacturing, n.e.c. (3332, 3334, 3339)",1460,"Private, For Profit","No","No","Employed-At Work",FALSE,24.0375
"1633",29980,844075269800723,"February","CO",1643.0412,1057.69,40,44,1,NA,36,1,1,0,0,"Native, Born In US",84,"Elementary and secondary schools (6111)",2310,"Government - Local","Yes",NA,"Employed-At Work",FALSE,26.44225
"1634",29996,889910190000980,"February","CO",1664.5399,1500,40,44,1,NA,48,2,1,2,3,"Native, Born In US",84,"Computer systems design and related services (5415)",50,"Private, For Profit","No","No","Employed-At Work",TRUE,37.5
"1635",30000,900881099108009,"February","CO",1920.8442,809.2,40,45,1,NA,63,2,1,0,0,"Native, Born In US",84,"Legal services (5411)",2100,"Private, For Profit","No","No","Employed-At Work",TRUE,20.23
"1636",30004,920188017008530,"February","CO",1546.8979,1711.53,40,44,1,NA,43,1,1,1,1,"Native, Born In US",84,"Management, scientific, and technical consulting services (5416)",1010,"Private, For Profit","No","No","Employed-At Work",FALSE,42.78825
"1637",30019,26730880982199,"February","CO",1664.5399,2050,60,44,1,NA,47,2,7,0,0,"Native, Born In US",84,"Computer systems design and related services (5415)",735,"Private, For Profit","No","No","Employed-At Work",TRUE,34.1666666666667
"1638",30020,28530880017402,"February","CO",1546.8979,1634.61,50,44,1,NA,44,1,1,2,8,"Native, Born In US",84,"Employment services (5613)",630,"Private, For Profit","No","No","Employed-At Work",FALSE,32.6922
"1639",30024,43093769800914,"February","CO",1884.0745,280,40,44,1,5,30,2,6,2,2,"Foreign Born, Not a US Citizen",84,"Restaurants and other food services (722 exc. 7224)",4020,"Private, For Profit","No","No","Employed-At Work",TRUE,7
"1640",30045,91948206064899,"February","CO",1796.0947,1800,40,44,1,NA,35,2,1,2,5,"Native, Born In US",84,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4300,"Private, For Profit","No","No","Employed-Absent",TRUE,45
"1641",30050,93934500057839,"February","CO",1763.5624,2884.61,50,45,1,NA,39,2,1,1,3,"Native, Born In US",84,"Hospitals (622)",350,"Private, For Profit","No","No","Employed-At Work",TRUE,57.6922
"1642",30082,180603078909694,"February","CO",1724.2918,175,20,44,1,NA,57,2,1,1,4,"Foreign Born, Not a US Citizen",84,"Book stores and news dealers (45121)",5240,"Private, For Profit","No","No","Employed-At Work",TRUE,8.75
"1643",30095,280523044909699,"February","CO",1638.8802,700,40,44,1,NA,34,2,7,0,0,"Native, Born In US",84,"****Department stores and discount stores (s45211)",4700,"Private, For Profit","No","No","Employed-At Work",TRUE,17.5
"1644",30098,380446094909279,"February","CO",1968.2043,2423.07,50,46,1,NA,60,1,1,1,4,"Native, Born In US",84,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit","No","No","Employed-At Work",FALSE,48.4614
"1645",30147,740096599800991,"February","CO",1611.8656,653.84,40,44,1,NA,34,2,7,0,0,"Native, Born In US",84,"Elementary and secondary schools (6111)",2320,"Government - Local","Yes",NA,"Employed-At Work",TRUE,16.346
"1646",30215,55690490016809,"February","CT",1055.2289,1980.76,40,46,1,NA,33,2,7,0,0,"Native, Born In US",NA,"Hospitals (622)",3245,"Private, Nonprofit","No","No","Employed-At Work",TRUE,49.519
"1647",30216,55690490016809,"February","CT",1055.2289,2000,40,44,1,NA,33,2,5,0,0,"Native, Born In US",NA,"Hospitals (622)",3258,"Private, Nonprofit","No","No","Employed-At Work",TRUE,50
"1648",30223,70968305075949,"February","CT",1055.2289,1038,40,44,1,NA,31,2,7,0,0,"Native, Born In US",NA,"Advertising and related services (5418)",50,"Private, For Profit","No","No","Employed-At Work",TRUE,25.95
"1649",30224,72914403065964,"February","CT",1315.3804,653.84,65,44,1,NA,26,1,7,0,0,"Native, Born In US",NA,"Colleges and universities, including junior colleges (6112, 6113)",1650,"Private, Nonprofit","No","No","Employed-At Work",FALSE,10.0590769230769
"1650",30227,72914403065964,"February","CT",1158.4905,560,40,46,4,NA,26,2,7,0,0,"Native, Born Abroad Of US Parent(s)",NA,"Hospitals (622)",1650,"Private, Nonprofit","No","No","Employed-At Work",TRUE,14
"1651",30242,95954602009977,"February","CT",1044.2601,769,40,44,1,NA,51,2,1,1,3,"Native, Born In US",NA,"Elementary and secondary schools (6111)",2310,"Government - Local","Yes",NA,"Employed-Absent",TRUE,19.225
"1652",30243,95988103013999,"February","CT",948.3166,2884.61,50,44,4,NA,45,1,1,4,10,"Foreign Born, US Cit By Naturalization",NA,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",1060,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"1653",30246,130592074608659,"February","CT",1263.6359,2000,40,44,1,NA,27,2,7,0,0,"Native, Born In US",NA,"Hospitals (622)",3110,"Private, For Profit","No","No","Employed-At Work",TRUE,50
"1654",30247,130592074608659,"February","CT",1315.3804,923,48,44,1,NA,27,1,7,0,0,"Native, Born In US",NA,"Hospitals (622)",3110,"Private, For Profit","No","No","Employed-At Work",FALSE,19.2291666666667
