"","price","yrbuilt","stories","TLA","wall","beds","baths","halfbaths","frontage","depth","garage","garagesqft","rooms","lotsize","sdate","avalue","s1993","s1994","s1995","s1996","s1997","s1998","syear","age","geometry"
"680",85000,1910,"two",1513,"metlvnyl",3,2,0,44,132,"detached",440,6,5800,930525,86000,1,0,0,0,0,0,"1993",0.89,c(504123.59366691, 211032.15015886)
"681",59900,1882,"one",936,"brick",2,1,0,53,103,"no garage",0,5,5500,980618,36000,0,0,0,0,0,1,"1998",1.17,c(503426.781350052, 211046.032502888)
"682",110000,1920,"two",1584,"brick",3,1,1,44,132,"detached",360,6,5800,960227,94200,0,0,0,1,0,0,"1996",0.79,c(504136.087330394, 211036.983733747)
"683",67000,1897,"one",899,"wood",2,1,0,103,132,"detached",572,4,13600,960619,63114,0,0,0,1,0,0,"1996",1.02,c(502844.815924083, 211057.891481381)
"684",87200,1887,"one+half",1881,"brick",4,2,0,75,132,"no garage",0,8,9900,961007,82800,0,0,0,1,0,0,"1996",1.12,c(503560.21397176, 211049.038399597)
"685",174000,1969,"one",2288,"partbrk",3,2,1,301,652,"attached",704,7,208800,960729,173114,0,0,0,1,0,0,"1996",0.3,c(493097.470857134, 211195.82844552)
"686",70000,1842,"one+half",1058,"wood",3,1,0,52,132,"detached",400,6,6800,960625,45114,0,0,0,1,0,0,"1996",1.57,c(503151.208363027, 211056.471553237)
"687",66000,1975,"one",1204,"partbrk",3,1,0,70,200,"detached",280,6,14000,930330,67114,1,0,0,0,0,0,"1993",0.24,c(502021.041033867, 211072.161381391)
"688",71000,1947,"one",1483,"wood",2,1,1,52,132,"attached",576,5,6800,941223,82714,0,1,0,0,0,0,"1994",0.52,c(502990.561486787, 211064.610013185)
"689",68000,1917,"one",1141,"wood",2,1,0,42,103,"no garage",0,6,4300,980205,51600,0,0,0,0,0,1,"1998",0.82,c(503421.706524616, 211059.650651319)
"690",49000,1948,"one",676,"wood",2,1,0,52,132,"detached",308,4,6800,950901,58114,0,0,1,0,0,0,"1995",0.51,c(502881.291063116, 211071.843783383)
"691",64000,1922,"one",944,"metlvnyl",2,1,0,52,132,"detached",528,5,6800,950113,68914,0,0,1,0,0,0,"1995",0.77,c(503195.151996257, 211073.769222965)
"692",193000,1946,"two",2827,"brick",4,2,0,53,140,"basement",320,7,7400,980520,210314,0,0,0,0,0,1,"1998",0.53,c(504219.707214532, 211070.980930037)
"693",35000,1850,"one+half",1312,"wood",2,1,0,66,73,"no garage",0,6,4800,950714,46514,0,0,1,0,0,0,"1995",1.49,c(504133.569066312, 211073.781680452)
"694",72000,1949,"one",1116,"wood",2,1,0,60,132,"detached",280,5,7900,941228,76200,0,1,0,0,0,0,"1994",0.5,c(503938.083630169, 211078.026617834)
"695",67000,1977,"one",1144,"brick",3,1,1,77,150,"no garage",0,5,5800,940208,51914,0,1,0,0,0,0,"1994",0.22,c(501685.024983178, 211110.016644349)
"696",52000,1837,"one",1108,"wood",3,1,0,41,132,"no garage",0,6,5500,960405,33000,0,0,0,1,0,0,"1996",1.62,c(503062.346234248, 211092.753928219)
"697",85000,1924,"one",1437,"brick",2,1,0,60,132,"attached",260,5,7900,950111,102400,0,0,1,0,0,0,"1995",0.75,c(503955.107741617, 211084.799350489)
"698",45000,1953,"one",858,"ccbtile",2,1,0,36,132,"attached",528,4,4800,950824,56314,0,0,1,0,0,0,"1995",0.46,c(503073.33031313, 211096.939371569)
"699",79900,1978,"one",1591,"wood",2,2,0,50,200,"attached",294,6,10000,950814,75628,0,0,1,0,0,0,"1995",0.21,c(501808.328370427, 211116.57055375)
"700",145000,1942,"one+half",1846,"partbrk",4,2,1,73,0,"attached",396,8,8700,950525,155028,0,0,1,0,0,0,"1995",0.57,c(504264.622717355, 211086.272937703)
"701",93000,1953,"one",1470,"brick",3,1,1,65,140,"detached",484,5,9100,971114,107200,0,0,0,0,1,0,"1997",0.46,c(504168.661663162, 211096.977582571)
"702",88000,1852,"three",4031,"partbrk",4,2,1,120,132,"attached",628,7,15800,931022,116828,1,0,0,0,0,0,"1993",1.47,c(503579.820756707, 211105.869446809)
"703",75000,1967,"one",1248,"brick",3,1,1,63,200,"attached",240,6,21800,941003,79114,0,1,0,0,0,0,"1994",0.32,c(501751.456382082, 211130.556056597)
"704",109800,1996,"one",1445,"metlvnyl",3,2,0,50,200,"attached",440,5,10000,970620,71628,0,0,0,0,1,0,"1997",0.03,c(501808.121198672, 211132.12346783)
"705",155000,1917,"one",1787,"stucdrvt",2,1,1,113,132,"detached",528,5,14900,970502,114714,0,0,0,0,1,0,"1997",0.82,c(504002.316770007, 211103.169475011)
"706",222500,1835,"two",3170,"wood",4,2,0,84,0,"basement",630,8,24200,960918,256828,0,0,0,1,0,0,"1996",1.64,c(504235.042152938, 211101.545915195)
"707",106000,1953,"one",1705,"brick",4,2,0,50,140,"attached",506,8,7000,950501,109114,0,0,1,0,0,0,"1995",0.46,c(504185.012399815, 211103.315434046)
"708",85000,1923,"one",1712,"wood",4,1,0,100,200,"detached",360,7,20000,970805,65428,0,0,0,0,1,0,"1997",0.76,c(501945.671680013, 211137.376676862)
"709",31000,1925,"two",1044,"metlvnyl",2,1,0,42,74,"attached",364,5,3100,951003,26800,0,0,1,0,0,0,"1995",0.74,c(502877.315248926, 211130.209689108)
"710",73500,1897,"one+half",1440,"wood",3,1,1,50,132,"detached",288,6,6600,970916,73714,0,0,0,0,1,0,"1997",1.02,c(503911.564196747, 211116.585582178)
"711",69900,1932,"one",1008,"metlvnyl",2,1,0,165,0,"detached",300,5,21280,970618,39628,0,0,0,0,1,0,"1997",0.67,c(490462.59647348, 211312.891281405)
"712",59900,1890,"one",1170,"wood",2,1,0,52,132,"detached",308,4,6800,931012,40228,1,0,0,0,0,0,"1993",1.09,c(503076.753045161, 211147.209388554)
"713",68999,1993,"one",1288,"metlvnyl",3,2,0,75,200,"no garage",0,5,15000,930715,76914,1,0,0,0,0,0,"1993",0.06,c(501946.115846635, 211164.139101822)
"714",84500,1962,"one",1620,"wood",4,1,1,100,200,"detached",352,8,20000,950828,85714,0,0,1,0,0,0,"1995",0.37,c(502022.328888099, 211167.777220154)
"715",114000,1943,"one",1434,"metlvnyl",3,2,0,200,0,"detached",680,6,50700,980122,73514,0,0,0,0,0,1,"1998",0.56,c(485416.796960238, 211411.950342603)
"716",84000,1948,"two",1182,"partbrk",3,1,0,51,132,"detached",308,6,6800,931201,93714,1,0,0,0,0,0,"1993",0.51,c(503521.801121388, 211153.066784134)
"717",143500,1907,"one+half",1813,"metlvnyl",3,1,2,53,132,"detached",216,7,7000,950602,105714,0,0,1,0,0,0,"1995",0.92,c(504009.925393768, 211155.050686871)
"718",99800,1960,"one",2322,"wood",4,1,1,66,103,"attached",567,6,6800,960402,109114,0,0,0,1,0,0,"1996",0.39,c(503113.802578458, 211173.039901231)
"719",73000,1974,"one",1440,"partbrk",3,2,0,65,200,"detached",672,6,13000,940629,80800,0,1,0,0,0,0,"1994",0.25,c(502022.668426963, 211192.986046215)
"720",58700,1957,"one",1216,"partbrk",3,1,0,52,76,"attached",480,7,3900,980521,77200,0,0,0,0,0,1,"1998",0.42,c(503027.177773386, 211189.299971702)
"721",56000,1948,"one",800,"wood",2,1,0,90,0,"attached",240,4,65700,951227,52914,0,0,1,0,0,0,"1995",0.51,c(494462.072011405, 211318.96539033)
"722",95000,1887,"two",2306,"wood",4,1,1,73,132,"detached",528,7,9600,961202,89714,0,0,0,1,0,0,"1996",1.12,c(504089.333231209, 211185.991958066)
"723",157500,1982,"one",2431,"partbrk",3,2,1,404,0,"attached",576,7,256045,940426,168800,0,1,0,0,0,0,"1994",0.17,c(490995.870010246, 211376.079393726)
"724",68000,1860,"one+half",1032,"wood",2,1,0,51,132,"detached",616,5,6800,951219,50514,0,0,1,0,0,0,"1995",1.39,c(503250.512790499, 211215.64914223)
"725",83500,1974,"one",1440,"partbrk",3,1,1,65,200,"no garage",0,6,13000,960802,74000,0,0,0,1,0,0,"1996",0.25,c(502023.127984251, 211233.299084756)
"726",66800,1917,"one+half",1280,"wood",3,2,0,51,132,"detached",400,7,6800,960311,62200,0,0,0,1,0,0,"1996",0.82,c(503265.522211329, 211221.447416399)
"727",135000,1958,"multilvl",2112,"partbrk",3,1,1,74,132,"attached",308,6,9800,980206,141714,0,0,0,0,0,1,"1998",0.41,c(504168.825254431, 211217.044052822)
"728",25200,1958,"one",928,"metlvnyl",2,1,0,52,90,"no garage",0,4,4600,960212,28714,0,0,0,1,0,0,"1996",0.41,c(502990.873018053, 211238.100385625)
"729",64500,1925,"two",1384,"wood",3,1,1,51,132,"detached",352,6,6800,931202,86428,1,0,0,0,0,0,"1993",0.74,c(503309.796724743, 211238.630298345)
"730",58500,1900,"multilvl",1694,"partbrk",3,1,1,52,81,"no garage",0,6,4200,930630,64600,1,0,0,0,0,0,"1993",0.99,c(503164.876017097, 211243.445928345)
"731",45000,1925,"one",844,"wood",2,1,0,51,132,"detached",240,5,6800,950620,56800,0,0,1,0,0,0,"1995",0.74,c(503452.365755566, 211245.178111738)
"732",51000,1867,"one",1728,"wood",4,1,0,51,132,"detached",440,7,6800,951027,54714,0,0,1,0,0,0,"1995",1.32,c(503338.306671368, 211249.691810829)
"733",120000,1968,"one",1762,"partbrk",3,1,1,127,0,"attached",504,6,214000,980423,120800,0,0,0,0,0,1,"1998",0.31,c(493382.39722042, 211391.580118682)
"734",57000,1908,"one+half",1464,"wood",2,1,0,51,132,"no garage",0,6,6800,931110,57000,1,0,0,0,0,0,"1993",0.91,c(503645.384575634, 211250.28277535)
"735",149000,1910,"two",2280,"metlvnyl",4,1,1,50,132,"detached",400,8,6600,970515,97714,0,0,0,0,1,0,"1997",0.89,c(504356.757232066, 211241.338957082)
"736",89500,1907,"one+half",1846,"metlvnyl",4,1,1,51,132,"detached",576,7,6800,940407,86600,0,1,0,0,0,0,"1994",0.92,c(503481.545643931, 211256.453434688)
"737",115000,1915,"one+half",2516,"wood",4,1,1,50,132,"detached",252,7,6600,930719,106600,1,0,0,0,0,0,"1993",0.84,c(504370.928712412, 211246.928373993)
"738",46000,1900,"one",1304,"metlvnyl",4,1,0,52,91,"detached",228,7,4700,961106,29000,0,0,0,1,0,0,"1996",0.99,c(503083.131278991, 211275.301543345)
"739",105000,1907,"two",2451,"metlvnyl",4,2,0,56,132,"detached",792,8,7400,960220,116914,0,0,0,1,0,0,"1996",0.92,c(503421.911767096, 211282.458280309)
"740",74000,1862,"two",2304,"wood",4,2,1,56,132,"attached",323,7,7400,950908,61828,0,0,1,0,0,0,"1995",1.37,c(504016.862112371, 211276.138551781)
"741",70000,1948,"one",1748,"partbrk",4,1,0,46,132,"no garage",0,8,6100,930729,94114,1,0,0,0,0,0,"1993",0.51,c(503436.502410253, 211288.151392861)
"742",72500,1887,"two",1964,"wood",5,1,0,51,132,"detached",320,8,6800,980505,78914,0,0,0,0,0,1,"1998",1.12,c(503563.470114742, 211288.355246216)
"743",87500,1977,"one",1394,"partbrk",3,1,1,52,78,"detached",320,5,4000,970911,94628,0,0,0,0,1,0,"1997",0.22,c(503304.149502679, 211297.018172973)
"744",25000,1850,"two",1370,"partbrk",4,1,0,52,94,"detached",288,7,4800,960730,27028,0,0,0,1,0,0,"1996",1.49,c(503156.852613267, 211304.975583581)
"745",110000,1897,"one+half",1272,"metlvnyl",3,1,0,51,132,"detached",672,7,6800,970630,74428,0,0,0,0,1,0,"1997",1.02,c(503815.519112888, 211316.451452976)
"746",185000,1950,"one",1200,"partbrk",2,1,0,60,170,"attached",240,4,10200,980814,121514,0,0,0,0,0,1,"1998",0.49,c(504460.743712949, 211308.281609471)
"747",85000,1993,"one",1064,"partbrk",3,1,1,103,71,"attached",480,5,7309,931217,97714,1,0,0,0,0,0,"1993",0.06,c(503408.126258951, 211337.399822195)
"748",85000,1857,"two",1798,"partbrk",3,1,0,66,132,"no garage",0,8,8700,951005,62314,0,0,1,0,0,0,"1995",1.42,c(504284.621407391, 211331.811669709)
"749",48000,1887,"two",1404,"wood",4,1,0,56,132,"detached",160,6,7400,980720,67914,0,0,0,0,0,1,"1998",1.12,c(503993.471923333, 211336.870333722)
"750",65800,1922,"one+half",1711,"wood",5,1,0,39,132,"detached",432,8,5100,951003,75000,0,0,1,0,0,0,"1995",0.77,c(503596.155085248, 211350.122307802)
"751",87000,1877,"two",1806,"wood",3,1,0,66,132,"detached",484,7,8700,930420,91228,1,0,0,0,0,0,"1993",1.22,c(504308.015486908, 211340.944986386)
"752",72900,1907,"one+half",1192,"metlvnyl",3,1,0,38,132,"detached",280,6,5000,940719,56028,0,1,0,0,0,0,"1994",0.92,c(503607.056529071, 211354.420718224)
"753",100000,1917,"two",2672,"wood",4,1,1,63,132,"no garage",0,7,8300,961030,119514,0,0,0,1,0,0,"1996",0.82,c(504026.256020911, 211349.544194606)
"754",150000,1974,"multilvl",1752,"partbrk",3,1,0,248,0,"attached",621,6,210400,960724,121114,0,0,0,1,0,0,"1996",0.25,c(492992.274302153, 211513.492355477)
"755",108900,1994,"one",1492,"metlvnyl",3,2,0,91,71,"attached",480,6,6502,970331,118114,0,0,0,0,1,0,"1997",0.05,c(503494.410754435, 211371.020113195)
"756",55000,1897,"two",1264,"wood",3,1,0,51,90,"no garage",0,6,4600,970717,46914,0,0,0,0,1,0,"1997",1.02,c(503351.54968156, 211373.694365578)
"757",65000,1907,"one",1226,"wood",5,1,1,66,66,"detached",308,6,4400,970121,60400,0,0,0,0,1,0,"1997",0.92,c(504227.048426483, 211368.778889407)
"758",106000,1902,"two",1328,"wood",3,1,1,52,132,"detached",400,6,6800,940609,65428,0,1,0,0,0,0,"1994",0.97,c(504093.335393838, 211375.649935222)
"759",51000,1947,"one",637,"metlvnyl",2,1,0,56,132,"no garage",0,4,7400,980526,42314,0,0,0,0,0,1,"1998",0.52,c(503976.846179653, 211379.186040512)
"760",250000,1982,"two",2066,"wood",3,2,1,69,181,"attached",590,6,12500,970723,235314,0,0,0,0,1,0,"1997",0.17,c(504468.795720888, 211381.48325374)
"761",108700,1920,"one+half",1306,"metlvnyl",3,1,0,40,132,"detached",240,6,5300,970717,72514,0,0,0,0,1,0,"1997",0.79,c(504306.644905322, 211388.946055909)
"762",361000,1986,"two",2766,"partbrk",5,2,1,158,1348,"attached",552,9,217000,960613,199514,0,0,0,1,0,0,"1996",0.13,c(496965.291380117, 211499.893021011)
"763",128000,1907,"two",1921,"wood",4,2,0,52,132,"attached",780,7,6800,960718,95628,0,0,0,1,0,0,"1996",0.92,c(504167.459707231, 211404.662413622)
"764",74900,1902,"two",1520,"wood",3,2,0,51,132,"attached",400,7,6800,930719,80400,1,0,0,0,0,0,"1993",0.97,c(503775.00876993, 211419.728785425)
"765",115500,1907,"one",1572,"metlvnyl",3,1,0,56,132,"detached",400,7,7400,980818,79714,0,0,0,0,0,1,"1998",0.92,c(503905.077630984, 211421.230410826)
"766",93000,1902,"two",1628,"wood",4,1,0,56,132,"detached",504,8,7400,960528,72714,0,0,0,1,0,0,"1996",0.97,c(503920.925995728, 211427.463233177)
"767",87000,1925,"one+half",1467,"wood",4,1,0,51,132,"detached",572,7,6800,971211,84714,0,0,0,0,1,0,"1997",0.74,c(503804.18891711, 211431.116461234)
"768",87000,1948,"two",1416,"partbrk",3,1,0,63,132,"detached",392,7,8300,971001,102114,0,0,0,0,1,0,"1997",0.51,c(503985.908239981, 211452.70710974)
"769",97000,1850,"two",1554,"wood",3,1,0,66,132,"detached",825,7,8700,980406,79828,0,0,0,0,0,1,"1998",1.49,c(504349.480110365, 211474.574432929)
"770",75000,1917,"one",1080,"wood",2,1,1,50,132,"detached",352,5,6600,940331,65400,0,1,0,0,0,0,"1994",0.82,c(504067.993579027, 211484.501368429)
"771",85000,1917,"one",1770,"wood",2,2,0,56,132,"detached",288,7,7400,950801,88428,0,0,1,0,0,0,"1995",0.82,c(503952.344543636, 211488.360025137)
"772",97900,1919,"one+half",1456,"metlvnyl",3,1,1,63,132,"attached",598,6,8300,941230,91428,0,1,0,0,0,0,"1994",0.8,c(503969.44816217, 211494.909593227)
"773",101000,1947,"one",1686,"metlvnyl",2,1,0,52,132,"detached",616,5,6800,941101,93314,0,1,0,0,0,0,"1994",0.52,c(504021.76405758, 211514.878491619)
"774",85000,1994,"one",1820,"wood",3,2,0,379,0,"detached",576,6,352051,950921,100914,0,0,1,0,0,0,"1995",0.05,c(484851.262581347, 211817.755898331)
"775",98500,1950,"one",1256,"brick",3,1,0,66,132,"attached",252,6,8700,960116,96314,0,0,0,1,0,0,"1996",0.49,c(504151.136154005, 211564.932124682)
"776",110000,1912,"one+half",1522,"metlvnyl",3,1,1,66,132,"no garage",0,7,8700,970623,73228,0,0,0,0,1,0,"1997",0.87,c(504170.254222863, 211572.455264823)
"777",128989,1996,"one",1344,"metlvnyl",3,2,0,185,237,"attached",616,5,43821,961017,98714,0,0,0,1,0,0,"1996",0.03,c(492680.616663224, 211739.788288529)
"778",188900,1992,"two",2060,"partbrk",3,2,1,152,0,"attached",484,7,43560,970703,146314,0,0,0,0,1,0,"1997",0.07,c(492361.161130357, 211753.505717735)
"779",82000,1929,"two",1188,"metlvnyl",3,2,0,52,40,"detached",484,6,5200,950623,78914,0,0,1,0,0,0,"1995",0.7,c(504059.591891575, 211593.795910755)
"780",105000,1950,"one",1365,"wood",3,1,0,76,132,"attached",528,5,10000,940606,106714,0,1,0,0,0,0,"1994",0.49,c(504248.986711764, 211603.185002798)
"781",51000,1902,"one+half",1146,"metlvnyl",2,1,0,50,90,"no garage",0,5,5900,960821,36714,0,0,0,1,0,0,"1996",0.97,c(503699.158919524, 211638.544804393)
"782",80000,1872,"one+half",1208,"metlvnyl",3,1,0,78,132,"detached",360,6,10300,970505,55714,0,0,0,0,1,0,"1997",1.27,c(504150.808512696, 211635.022847505)
"783",190603,1962,"one",1606,"partbrk",3,1,1,150,0,"attached",552,6,87000,980309,110800,0,0,0,0,0,1,"1998",0.37,c(498477.905238724, 211719.09759804)
"784",60000,1902,"one",1242,"metlvnyl",3,1,1,52,132,"detached",396,7,6800,930602,70314,1,0,0,0,0,0,"1993",0.97,c(504199.102098371, 211653.71315081)
"785",210000,1907,"two",2985,"metlvnyl",4,2,0,50,245,"attached",434,8,12300,930629,161514,1,0,0,0,0,0,"1993",0.92,c(504510.657004726, 211659.946120076)
"786",72600,1919,"one+half",1109,"stucdrvt",3,1,0,52,132,"detached",360,5,6800,961202,71114,0,0,0,1,0,0,"1996",0.8,c(504228.364031661, 211665.101437973)
"787",72000,1932,"one",1377,"metlvnyl",2,1,1,44,81,"attached",264,4,3600,970701,43914,0,0,0,0,1,0,"1997",0.67,c(503719.196627956, 211677.710127054)
"788",188500,1986,"one",2283,"wood",4,2,1,50,0,"attached",525,7,327800,960513,169114,0,0,0,1,0,0,"1996",0.13,c(492032.730219424, 211848.121620437)
"789",316667,1980,"one+half",3921,"wood",4,3,2,0,0,"detached",864,8,43560,960304,470828,0,0,0,1,0,0,"1996",0.19,c(485131.567067859, 211955.945606116)
"790",165000,1907,"one+half",2394,"ccbtile",4,2,0,66,254,"no garage",0,7,16800,940504,138914,0,1,0,0,0,0,"1994",0.92,c(504512.972368178, 211677.465086349)
"791",92000,1977,"one",1868,"partbrk",3,1,1,66,140,"detached",440,7,9200,940620,118828,0,1,0,0,0,0,"1994",0.22,c(504267.121771633, 211681.807384068)
"792",70000,1908,"one+half",1294,"wood",3,1,0,56,118,"detached",480,6,6600,960124,67514,0,0,0,1,0,0,"1996",0.91,c(503837.335176515, 211692.030624206)
"793",144000,1956,"one",1355,"ccbtile",2,1,0,27,254,"attached",483,4,6900,980112,110314,0,0,0,0,0,1,"1998",0.43,c(504515.745847975, 211691.756954726)
"794",55000,1912,"two",1068,"wood",2,1,0,52,174,"detached",240,6,9000,951031,64600,0,0,1,0,0,0,"1995",0.87,c(504017.634228997, 211701.311779025)
"795",42000,1890,"one",1224,"wood",2,1,0,56,118,"detached",924,5,6600,950703,42514,0,0,1,0,0,0,"1995",1.09,c(503757.771781771, 211705.745142261)
"796",127000,1959,"multilvl",2240,"wood",3,2,0,150,300,"attached",392,7,45200,930629,138428,1,0,0,0,0,0,"1993",0.4,c(498512.186995741, 211778.709770037)
"797",83000,1993,"one",1200,"wood",3,2,0,56,118,"attached",616,5,6600,931007,111314,1,0,0,0,0,0,"1993",0.06,c(503773.868395544, 211711.863286362)
"798",64900,1946,"one",800,"wood",2,1,0,56,118,"detached",400,5,6600,950424,42400,0,0,1,0,0,0,"1995",0.53,c(503789.883050578, 211718.09362198)
"799",118000,1902,"two",1728,"ccbtile",2,1,0,86,0,"attached",552,6,13900,930510,115714,1,0,0,0,0,0,"1993",0.97,c(504513.927620413, 211712.106984612)
"800",51000,1909,"one",1126,"metlvnyl",4,1,0,52,118,"detached",280,6,6100,950727,48914,0,0,1,0,0,0,"1995",0.9,c(504026.486146999, 211765.283536158)
"801",48000,1947,"one",988,"metlvnyl",2,1,0,52,118,"detached",320,4,6100,930104,71400,1,0,0,0,0,0,"1993",0.52,c(503922.104945035, 211769.32728476)
"802",67000,1947,"one",1040,"wood",3,2,0,52,118,"detached",352,7,6100,940906,73714,0,1,0,0,0,0,"1994",0.52,c(503951.867263512, 211780.707853705)
"803",60000,1950,"one",1056,"wood",3,1,0,52,118,"detached",280,6,6100,930921,69200,1,0,0,0,0,0,"1993",0.49,c(504063.795286224, 211779.675004272)
"804",150000,1955,"one+half",2766,"partbrk",3,2,1,140,140,"attached",552,7,19600,960318,179228,0,0,0,1,0,0,"1996",0.44,c(504400.451353564, 211779.463201067)
"805",40000,1925,"one",747,"wood",2,1,0,52,118,"detached",360,5,6100,980929,42514,0,0,0,0,0,1,"1998",0.74,c(504078.299559561, 211785.259460083)
"806",46000,1927,"one",761,"wood",2,1,0,52,118,"no garage",0,5,6100,960712,47914,0,0,0,1,0,0,"1996",0.72,c(504092.888674059, 211790.953897974)
"807",63200,1907,"one",1012,"metlvnyl",2,1,0,56,118,"attached",320,4,6600,980522,38200,0,0,0,0,0,1,"1998",0.92,c(503721.564189715, 211799.858085877)
"808",147000,1968,"one",1812,"brick",4,2,0,120,405,"attached",484,8,47800,940729,110600,0,1,0,0,0,0,"1994",0.31,c(492259.157724069, 211974.277042243)
"809",51268,1947,"one",780,"wood",3,1,0,52,118,"attached",396,6,6100,940729,56400,0,1,0,0,0,0,"1994",0.52,c(504137.830785833, 211808.57726332)
"810",70000,1912,"one",1206,"wood",2,1,0,52,118,"detached",620,6,6100,950913,57514,0,0,1,0,0,0,"1995",0.87,c(504049.291712528, 211818.408312937)
"811",158500,1975,"one",1842,"brick",4,2,0,165,0,"attached",576,8,212800,960116,144514,0,0,0,1,0,0,"1996",0.24,c(492521.614597502, 211982.056870956)
"812",61500,1906,"one",1124,"metlvnyl",3,1,0,72,118,"detached",336,7,8500,970307,42914,0,0,0,0,1,0,"1997",0.93,c(504066.98266008, 211825.283573957)
"813",70000,1947,"one",1467,"wood",3,1,0,52,118,"detached",576,5,6100,930630,88114,1,0,0,0,0,0,"1993",0.52,c(503915.502432597, 211831.503787502)
"814",62000,1972,"one",1002,"wood",3,1,0,48,118,"detached",432,5,5600,940407,72314,0,1,0,0,0,0,"1994",0.27,c(503833.833440658, 211843.579230981)
"815",35000,1947,"one",720,"metlvnyl",2,1,0,52,118,"carport",264,4,6100,930112,49914,1,0,0,0,0,0,"1993",0.52,c(504108.063392742, 211841.069459985)
"816",55580,1887,"two",1312,"wood",4,1,0,52,118,"detached",525,7,6100,970627,43400,0,0,0,0,1,0,"1997",1.12,c(503960.024814293, 211848.909459351)
"817",73900,1965,"one",1168,"partbrk",3,1,1,66,118,"attached",336,5,7800,950424,77914,0,0,1,0,0,0,"1995",0.34,c(504244.231630807, 211850.271685361)
"818",76500,1946,"one",1056,"wood",2,1,0,52,118,"detached",576,5,6100,970818,89914,0,0,0,0,1,0,"1997",0.53,c(503885.73171446, 211863.663737789)
"819",69900,1961,"one",1075,"brick",3,1,1,66,118,"no garage",0,5,7800,951026,68314,0,0,1,0,0,0,"1995",0.38,c(504267.79091045, 211859.402691066)
"820",76900,1926,"two",1230,"metlvnyl",3,1,0,52,118,"detached",576,6,6100,931013,87600,1,0,0,0,0,0,"1993",0.73,c(503974.440961353, 211898.368345188)
"821",145000,1968,"one",1629,"partbrk",3,2,0,115,380,"attached",580,7,43700,971001,111714,0,0,0,0,1,0,"1997",0.31,c(492057.857694628, 212074.229804706)
"822",236000,1950,"one+half",2632,"stucdrvt",3,2,1,146,0,"attached",672,8,64900,960819,136800,0,0,0,1,0,0,"1996",0.49,c(498513.374736078, 211983.401092766)
"823",152000,1922,"two",1543,"metlvnyl",3,1,1,50,248,"detached",600,7,12400,960715,103514,0,0,0,1,0,0,"1996",0.77,c(504570.233492999, 211915.629355231)
"824",54000,1952,"one",648,"wood",2,1,0,163,0,"detached",576,4,212900,940520,68914,0,1,0,0,0,0,"1994",0.47,c(492925.848818196, 212078.616536877)
"825",54900,1940,"one",977,"wood",2,1,0,66,0,"detached",216,5,11600,961127,54714,0,0,0,1,0,0,"1996",0.59,c(504353.929707914, 211927.134124599)
"826",94500,1971,"one",1614,"brick",3,2,0,52,118,"attached",506,6,6100,961106,108314,0,0,0,1,0,0,"1996",0.28,c(504182.705184461, 211935.052399653)
"827",88500,1919,"two",1668,"wood",4,1,0,48,0,"detached",560,7,10500,950807,95914,0,0,1,0,0,0,"1995",0.8,c(504612.17056148, 211945.957265586)
"828",45000,1926,"one",728,"wood",2,1,0,52,118,"detached",280,5,6100,950426,49114,0,0,1,0,0,0,"1995",0.73,c(504226.636646408, 211952.023188369)
"829",90000,1926,"two",1400,"brick",3,2,1,50,0,"detached",400,6,17400,941212,98228,0,1,0,0,0,0,"1994",0.73,c(504578.54057001, 211951.174476797)
"830",60500,1957,"one",875,"wood",3,1,0,52,118,"detached",320,6,6100,950417,59800,0,0,1,0,0,0,"1995",0.42,c(504241.308707491, 211957.716828722)
"831",87500,1951,"one",1582,"metlvnyl",3,1,1,132,0,"no garage",0,5,14500,980825,91028,0,0,0,0,0,1,"1998",0.48,c(504400.698845294, 211956.952999694)
"832",199900,1969,"one",2570,"brick",3,2,1,115,380,"attached",625,7,43700,980406,147314,0,0,0,0,0,1,"1998",0.3,c(492020.210703254, 212134.213555696)
"833",51100,1887,"one",1364,"wood",3,1,0,52,118,"no garage",0,7,6100,951211,42200,0,0,1,0,0,0,"1995",1.12,c(504270.57082421, 211969.216348965)
"834",45000,1930,"one",744,"wood",2,1,0,138,792,"detached",240,5,91700,930331,50828,1,0,0,0,0,0,"1993",0.69,c(494457.638911361, 212105.766851462)
"835",79500,1922,"two",1752,"wood",4,2,1,52,118,"detached",490,7,6100,930824,90800,1,0,0,0,0,0,"1993",0.77,c(504167.700928835, 211973.79208171)
"836",210000,1948,"one",1667,"wood",2,2,1,97,0,"basement",352,5,24300,931221,213200,1,0,0,0,0,0,"1993",0.51,c(504721.702719247, 211978.731804642)
"837",73000,1941,"one+half",1188,"wood",4,1,1,90,90,"detached",484,6,8100,970218,78914,0,0,0,0,1,0,"1997",0.58,c(504063.953512522, 211994.042011595)
"838",74900,1922,"one",942,"wood",3,1,0,56,0,"detached",280,5,7400,950810,65314,0,0,1,0,0,0,"1995",0.77,c(504583.634058722, 211996.091815216)
"839",85500,1928,"one+half",1382,"wood",3,1,1,52,118,"detached",400,6,6100,950302,86914,0,0,1,0,0,0,"1995",0.71,c(504241.063947256, 212002.482093478)
"840",97500,1973,"one+half",2196,"partbrk",3,2,0,80,0,"detached",352,7,7900,930401,109228,1,0,0,0,0,0,"1993",0.26,c(504661.639416959, 211997.290364986)
